,c_id,comment_author,thread_id,comment_date,CLASS
287,c2064414117,Enembe,a15365475,09/19/2009,-1
288,c2065311056,PrincessAnika,a15509905,09/22/2009,-1
289,c2065433631,mecoxx,a15546835,09/23/2009,-1
290,c2065584885,Envie,a15546835,09/23/2009,-1
291,c2065656279,NOLAMA,a15627445,09/24/2009,-1
292,c2066093711,moonlitskies97,a15638055,09/24/2009,-1
293,c2066095510,BoricuaWithBaby,a15626215,09/24/2009,1
294,c2066106308,phone_call,a15627445,09/24/2009,-1
295,c2066143948,JK07,a15647525,09/24/2009,-1
296,c2066352363,doobiemom_x2,a15686925,09/25/2009,-1
297,c2067685902,geisslerfamily,a15975325,09/30/2009,-1
298,c2068262154,Tande7849,a15967405,10/01/2009,1
299,c2068394847,mLynn216,a16060015,10/01/2009,1
300,c2068999006,buggyloo26,a16096455,10/04/2009,1
301,c2069354341,Yvette3235,a16249465,10/05/2009,-1
302,c2069629069,babyplease17,a16305335,10/06/2009,1
303,c2070068816,angiefyah,a16400495,10/08/2009,-1
304,c2070392013,LovinBabyAnthony14,a16382645,10/09/2009,-1
305,c2070477541,ethan~christian~emma,a16491335,10/09/2009,-1
306,c2070700398,mehungry98,a16504775,10/10/2009,-1
307,c2070806068,proteanlives,a16528335,10/11/2009,-1
308,c2071022756,Lief_Claire,a16575905,10/12/2009,-1
309,c2071062775,WAMTWY,a16546275,10/12/2009,-1
310,c2071347557,LeslieLue,a16658745,10/13/2009,-1
311,c2071348476,just~jessie,a16658745,10/13/2009,-1
312,c2071354940,*LOVE MULTIPLIES*,a16647055,10/13/2009,-1
313,c2071462217,nancynaeve,a16678415,10/13/2009,1
314,c2071463060,kara_allman,a16658745,10/13/2009,1
315,c2071471203,price-6,a16669435,10/13/2009,1
316,c2071474141,katew721,a16654415,10/13/2009,-1
317,c2071596337,~*doodlebug*~,a16658745,10/14/2009,-1
318,c2071941273,JRoo122,a16777905,10/15/2009,-1
319,c2072355521,Sara2201,a16546275,10/17/2009,-1
320,c2072485122,pdxmama2B,a16740945,10/17/2009,-1
321,c2072567552,jmott79,a16740945,10/17/2009,-1
322,c2073219066,Figgy D,a17032105,10/20/2009,-1
323,c2073348018,Denise_Nicole,a17061565,10/20/2009,-1
324,c2073349324,berrel,a17061565,10/20/2009,1
325,c2073940815,mommymelli,a17086415,10/21/2009,-1
326,c2074360142,pmaryland,a17188645,10/22/2009,1
327,c2074378290,hshertenlieb,a17188645,10/22/2009,-1
328,c2074389609,SweetestAngel410,a17204645,10/23/2009,-1
329,c2074512003,rch0026,a17178605,10/23/2009,-1
330,c2074712102,ladydi8976,a17204645,10/24/2009,1
331,c2075591609,celena2499,a17429915,10/27/2009,-1
332,c2075951946,SteeleTig,a17500945,10/28/2009,1
333,c2078705463,renaivamia,a17845925,11/04/2009,1
334,c2079566671,MojitoMX,a18023145,11/07/2009,-1
335,c2080055998,ShannBan,a18083545,11/09/2009,-1
336,c2080334694,Countin'MyBlessings,a18155375,11/10/2009,1
337,c2080504847,berryAug09,a18187265,11/10/2009,-1
338,c2080704928,unipride,a18256945,11/11/2009,-1
339,c2080848182,Mommy_Pix,a18275525,11/11/2009,-1
340,c2080966184,HauteTXMama,a18232625,11/12/2009,-1
341,c2082606703,BirdLady'sMommy,a18490285,11/16/2009,1
342,c2082820578,MissLadyJay,a18558685,11/17/2009,-1
343,c2083044509,Polly_Pockett,a18617495,11/18/2009,-1
344,c2083069191,missmichellee,a18617495,11/18/2009,-1
345,c2083140429,BensMommy910,a18566785,11/18/2009,1
346,c2083219829,JenandJohn09,a18604575,11/18/2009,1
347,c2083294479,erinh17,a18558685,11/18/2009,-1
348,c2083298860,ajewel381,a18567505,11/18/2009,-1
349,c2084871251,cherry_lace,a2699155,11/22/2009,-1
350,c2084872432,pattimayonnaise,a2699155,11/22/2009,-1
351,c2085178830,Redllk,a18927045,11/23/2009,1
352,c2085189038,bdctexas,a18216655,11/23/2009,-1
353,c2085508559,DavinMichaelsMommy,a18982575,11/25/2009,1
354,c2086133819,xxchanticleerxx,a19044385,11/27/2009,1
355,c2086715764,Sexysiren,a19169995,11/29/2009,-1
356,c2087373904,Jenna1003,a19202345,11/30/2009,-1
357,c2087706407,BNLeuck,a19267295,12/01/2009,-1
358,c2088121751,sarahveggie,a19285535,12/02/2009,1
359,c2088682112,AlmostMommy031209,a19437605,12/04/2009,1
360,c2090538839,aluminumfree,a19479325,12/09/2009,-1
361,c2090870692,skyes mama,a19778875,12/10/2009,-1
362,c2091504178,charmon98,a19883475,12/13/2009,1
363,c2093281743,ksiegrist,a20050635,12/16/2009,1
364,c2093294291,GingerNLW,a20050635,12/16/2009,1
365,c2093938939,IzzyKate,a20199355,12/18/2009,-1
366,c2093977645,babydust2007+,a20213375,12/18/2009,1
367,c2094064514,Topaz_,a20213615,12/18/2009,-1
368,c2094071191,michelle0702,a20213375,12/18/2009,-1
369,c2094397407,Mommy_Pix,a20281475,12/19/2009,-1
370,c2095728027,wolfpackchar44,a20388275,12/22/2009,1
371,c2095928069,evilxylo,a20388275,12/23/2009,-1
372,c2096307430,MrsErBear,a20500335,12/24/2009,-1
373,c2096734399,LoveMyBabyGirl3,a20479705,12/26/2009,-1
